Vendor_Code,Vendor_Name,Vendor_Type,PAN,GSTIN,Resident,LDC_Available,LDC_Rate,LDC_Valid_From,LDC_Valid_To,Blocked,Active,MSME
D0026D,Atlas Copco India Ltd,Company,ATLCD6727M,09ATLCD6727M6ZM,Y,N,,,,N,Y,N
D0027C,Ingersoll Rand India Ltd,Company,INGCD3014J,07INGCD3014J4ZG,Y,N,,,,N,Y,N
D0028G,Danfoss Industries Pvt Ltd,Company,DANCD2051Z,36DANCD2051Z2Z8,Y,N,,,,N,Y,N
D0029B,Sandvik Asia Pvt Ltd,Company,SANCD4390G,19SANCD4390G1ZV,Y,N,,,,N,Y,N
D0030C,Kennametal India Ltd,Company,KENCD6442L,27KENCD6442L9ZF,Y,N,,,,N,Y,N
D0031D,Mitsubishi Electric India Pvt Ltd,Company,MITCD9977Y,32MITCD9977Y7ZS,Y,N,,,,N,Y,N
D0032G,Fanuc India Pvt Ltd,Company,FANCD2481Z,06FANCD2481Z7Z8,Y,N,,,,N,Y,N
D0033G,Yaskawa India Pvt Ltd,Company,YASCD5509L,21YASCD5509L5ZG,Y,N,,,,N,Y,N
D0034F,Omron Automation Pvt Ltd,Company,OMRCD4491E,07OMRCD4491E3ZM,Y,N,,,,N,Y,N
D0035D,Phoenix Contact India Pvt Ltd,Company,PHOCD6041O,09PHOCD6041O1Z5,Y,N,,,,N,Y,N
D0036E,Wago Controls India Pvt Ltd,Company,WAGCD4099Y,19WAGCD4099Y3ZX,Y,N,,,,N,Y,N
D0037C,Rittal India Pvt Ltd,Company,RITCD1454H,19RITCD1454H2Z4,Y,N,,,,N,Y,N
D0038D,Hager Electro Pvt Ltd,Company,HAGCD7272R,21HAGCD7272R8ZX,Y,N,,,,N,Y,N
D0039F,Legrand India Pvt Ltd,Company,LEGCD6149O,19LEGCD6149O3ZT,Y,Y,1.0,4/1/2026,3/31/2027,N,Y,N
D0040A,Havells India Ltd,Company,HAVCD5593M,27HAVCD5593M4ZT,Y,N,,,,N,Y,N
D0041H,Polycab India Ltd,Company,POLCD9182W,24POLCD9182W9ZS,Y,N,,,,N,Y,N
D0042G,KEI Industries Ltd,Company,KEICD1017N,33KEICD1017N7ZY,Y,N,,,,N,Y,N
D0043F,Finolex Cables Ltd,Company,FINCD1530G,07FINCD1530G9ZJ,Y,Y,0.0,4/1/2026,3/31/2027,N,Y,N
D0044G,RR Kabel Ltd,Company,RRKCD9844F,06RRKCD9844F5ZV,Y,Y,0.5,4/1/2026,3/31/2027,N,Y,N
D0045E,Sterlite Technologies Ltd,Company,STECD2659Z,19STECD2659Z3ZU,Y,N,,,,N,Y,N
D0046F,JSW Steel Ltd,Company,JSWCD3957Z,21JSWCD3957Z8ZH,Y,N,,,,N,Y,N
D0047G,Jindal Steel & Power Ltd,Company,JINCD7556M,29JINCD7556M8ZN,N,N,,,,N,Y,N
D0048A,SAIL Bhilai Steel Plant,Company,SAICT0013B,36SAICT0013B1ZD,Y,N,,,,N,Y,N
D0049E,Essar Steel India Ltd,Company,ESSCD2172D,06ESSCD2172D7ZM,Y,N,,,,N,Y,N
D0050A,Rashtriya Ispat Nigam Ltd,Company,RASCD3491U,06RASCD3491U2ZR,Y,N,,,,N,Y,N
D0051A,Ultratech Cement Ltd,Company,ULTCD8543N,29ULTCD8543N6ZT,Y,N,,,,N,Y,N
D0052E,Ambuja Cements Ltd,Company,AMBCD1982A,33AMBCD1982A7Z1,Y,Y,1.0,4/1/2026,3/31/2027,N,Y,N
D0053F,ACC Ltd,Company,ACCCD7208I,24ACCCD7208I2Z7,Y,N,,,,N,Y,N
D0054F,Shree Cement Ltd,Company,SHRCD9894S,21SHRCD9894S5ZM,N,N,,,,N,Y,N
D0055B,Dalmia Bharat Ltd,Company,DALCD6929W,09DALCD6929W1ZF,Y,N,,,,N,Y,N
D0056G,JK Cement Ltd,Company,JKCCD3750V,32JKCCD3750V8Z1,Y,N,,,,N,Y,N
D0057D,Pidilite Industries Ltd,Company,PIDCD6150I,33PIDCD6150I4ZX,Y,N,,,,N,Y,N
D0058D,Berger Paints India Ltd,Company,BERCD0081M,19BERCD0081M7Z2,Y,N,,,,N,Y,N
D0059F,Kansai Nerolac Paints Ltd,Company,KANCD5881X,27KANCD5881X6ZP,Y,N,,,,N,Y,N
D0060B,Supreme Industries Ltd,Company,SUPCD8250N,32SUPCD8250N8ZB,Y,N,,,,N,Y,N
D0061H,Astral Ltd,Company,ASTCD9928P,07ASTCD9928P5ZN,Y,N,,,,N,Y,N
D0062E,Finolex Industries Ltd,Company,FINCD8238P,27FINCD8238P6ZO,Y,N,,,,N,Y,N
D0063G,Prince Pipes & Fittings Ltd,Company,PRICD7583P,23PRICD7583P7Z8,Y,N,,,,N,Y,N
D0064C,Ashirvad Pipes Pvt Ltd,Company,ASHCD7049B,19ASHCD7049B3Z6,Y,N,,,,N,Y,N
D0065A,Crompton Greaves Consumer Electricals Ltd,Company,CROCD1010A,07CROCD1010A8Z3,Y,N,,,,N,Y,N
D0066G,Bajaj Electricals Ltd,Company,BAJCD1458A,19BAJCD1458A6ZT,Y,Y,0.5,4/1/2026,3/31/2027,N,Y,N
D0067C,Orient Electric Ltd,Company,ORICD0476S,07ORICD0476S1Z8,Y,N,,,,N,Y,N
D0068A,V Guard Industries Ltd,Company,VGUCD8445P,21VGUCD8445P7ZK,Y,N,,,,N,Y,N
D0069E,Havells Lloyd Ltd,Company,HAVCD0059B,32HAVCD0059B5ZH,Y,N,,,,N,Y,N
D0070B,TVS Supply Chain Solutions Ltd,Company,TVSCD1091X,06TVSCD1091X8ZS,Y,N,,,,N,Y,N
D0071B,Allcargo Logistics Ltd,Company,ALLCD7053B,32ALLCD7053B5ZE,Y,N,,,,N,Y,N
D0072H,Gateway Distriparks Ltd,Company,GATCD6192M,09GATCD6192M7ZM,Y,N,,,,N,Y,N
D0073E,Container Corporation of India Ltd,Company,CONCD5809L,24CONCD5809L9ZN,Y,N,,,,N,Y,N
D0074G,Delhivery Ltd,Company,DELCD1993Q,21DELCD1993Q9ZY,Y,N,,,,N,Y,N
D0075E,Blue Dart Express Ltd,Company,BLUCD4875D,21BLUCD4875D9ZK,Y,N,,,,N,Y,N
D0076E,Gati Ltd,Company,GATCD5454I,21GATCD5454I7ZN,Y,N,,,,N,Y,N
D0077B,TCI Express Ltd,Company,TCICD5609G,19TCICD5609G8ZG,Y,N,,,,N,Y,N
D0078E,Safe Express Pvt Ltd,Company,SAFCD2253O,23SAFCD2253O9ZD,Y,Y,1.0,4/1/2026,3/31/2027,N,Y,N
D0079H,Om Logistics Ltd,Company,OMLCD7339J,06OMLCD7339J2Z3,Y,N,,,,N,Y,N
D0080G,Sical Logistics Ltd,Company,SICCD4392R,33SICCD4392R9ZA,Y,N,,,,N,Y,N
D0081G,VRL Logistics Ltd,Company,VRLCD9451Z,24VRLCD9451Z5ZD,Y,N,,,,N,Y,N
D0082G,Transport Corporation of India Ltd,Company,TRACD9598B,27TRACD9598B4ZG,Y,N,,,,N,Y,N
D0083G,Ernst & Young LLP,Company,ERNCP3679S,07ERNCP3679S3ZC,Y,N,,,,N,Y,N
D0084A,Deloitte Touche Tohmatsu India LLP,Company,DELCP7853V,24DELCP7853V9ZV,Y,Y,0.0,4/1/2026,3/31/2027,N,Y,N
D0085F,PricewaterhouseCoopers Pvt Ltd,Company,PRICD9963S,21PRICD9963S3Z4,Y,N,,,,N,Y,N
D0086D,KPMG Assurance & Consulting Services LLP,Company,KPMCP8853P,36KPMCP8853P4ZI,Y,N,,,,N,Y,N
D0087G,Grant Thornton Bharat LLP,Company,GRACP6902B,36GRACP6902B5ZU,Y,N,,,,N,Y,N
D0088A,BDO India LLP,Company,BDOCP2894U,23BDOCP2894U7Z4,Y,N,,,,N,Y,N
D0089H,RSM Astute Consulting Pvt Ltd,Company,RSMCD9598L,06RSMCD9598L4ZE,Y,N,,,,N,Y,N
D0090G,Walker Chandiok & Co LLP,Company,WALCP1247Z,23WALCP1247Z2ZR,Y,N,,,,N,Y,N
E0091F,Sharma Transport,Firm,SHAFT3496R,32SHAFT3496R4ZR,Y,N,,,,N,Y,Y
E0092H,Singh Engineering Works,Firm,SINFS2311F,06SINFS2311F2ZB,Y,N,,,,N,Y,N
E0093H,Patel Brothers & Co,Firm,PATFO6306X,24PATFO6306X4Z6,Y,Y,1.0,4/1/2026,3/31/2027,N,Y,N
E0094H,Gupta Logistics,Firm,GUPFS2680O,06GUPFS2680O2ZM,Y,N,,,,N,Y,N
E0095C,Mehta Electricals,Firm,MEHFS2351N,24MEHFS2351N9Z4,Y,N,,,,N,Y,Y
E0096D,Joshi Fabricators,Firm,JOSFS5162S,23JOSFS5162S5ZZ,Y,Y,1.0,4/1/2026,3/31/2027,N,Y,N
E0097A,Desai Construction,Firm,DESFN7818R,33DESFN7818R8Z6,N,N,,,,N,Y,N
E0098A,Kulkarni Steel Traders,Firm,KULFS1794Y,09KULFS1794Y3Z5,Y,N,,,,N,Y,N
E0099D,Nair Associates,Firm,NAIFS8728Y,09NAIFS8728Y2ZH,N,N,,,,N,Y,N
E0100F,Iyer & Sons,Firm,IYEFS3682U,29IYEFS3682U6Z3,Y,N,,,,N,Y,N
E0101D,Reddy Infra Solutions,Firm,REDFS8021E,19REDFS8021E7ZK,Y,N,,,,N,Y,N
E0102C,Banerjee Enterprises,Firm,BANFS9914K,27BANFS9914K8ZN,Y,N,,,,N,Y,Y
E0103D,Chatterjee Engineering,Firm,CHAFG4888A,33CHAFG4888A5Z4,Y,N,,,,N,Y,N
E0104H,Mukherjee Consultants,Firm,MUKFS7555H,23MUKFS7555H5ZY,Y,N,,,,N,Y,N
E0105E,Das & Company,Firm,DASFY1127J,23DASFY1127J2ZE,Y,N,,,,N,Y,N
E0106A,Pillai Contractors,Firm,PILFS1381F,27PILFS1381F6ZL,Y,N,,,,N,Y,Y
E0107A,Menon Fabrication,Firm,MENFN5618N,07MENFN5618N1Z5,Y,N,,,,N,Y,Y
E0108B,Shetty Transport Services,Firm,SHEFS5027Y,32SHEFS5027Y9ZB,Y,N,,,,N,Y,N
E0109D,Rao Precision Works,Firm,RAOFS2334E,07RAOFS2334E7ZG,Y,N,,,,N,Y,N
E0110G,Agarwal Trading Co,Firm,AGAFO1193U,32AGAFO1193U8ZQ,Y,N,,,,N,Y,N
E0111E,Bansal Steel Suppliers,Firm,BANFS1797M,07BANFS1797M9Z4,Y,N,,,,N,Y,Y
E0112D,Malhotra Engineering,Firm,MALFG0483K,27MALFG0483K3Z5,Y,N,,,,N,Y,N
E0113A,Kapoor Electrical Works,Firm,KAPFS1388V,19KAPFS1388V1ZM,N,N,,,,N,Y,N
E0114D,Chopra Logistics,Firm,CHOFS7870I,33CHOFS7870I8Z4,Y,N,,,,N,Y,N
E0115F,Saxena Fabricators,Firm,SAXFS6583B,27SAXFS6583B8ZN,Y,N,,,,N,Y,N
E0116E,Tiwari Construction Co,Firm,TIWFO4565A,07TIWFO4565A5Z3,Y,N,,,,N,Y,Y
E0117H,Verma Machinery Works,Firm,VERFS5056U,07VERFS5056U8Z1,Y,N,,,,N,Y,Y
E0118E,Yadav Transport,Firm,YADFT7848G,36YADFT7848G2Z3,Y,N,,,,N,Y,N
E0119H,Thakur Engineering,Firm,THAFG6749V,23THAFG6749V4Z9,Y,Y,0.5,4/1/2026,3/31/2027,N,Y,Y
E0120F,Pandey Electricals,Firm,PANFS3228Z,29PANFS3228Z9ZY,Y,N,,,,N,Y,N
E0121E,Sinha Associates,Firm,SINFS2711D,23SINFS2711D2Z9,Y,N,,,,N,Y,N
E0122A,Dubey Contractors,Firm,DUBFS3161W,32DUBFS3161W8ZT,Y,N,,,,N,Y,N
E0123C,Mishra Steel Works,Firm,MISFS9590X,33MISFS9590X1Z1,Y,N,,,,N,Y,N
E0124F,Jha Fabrication,Firm,JHAFN9838A,33JHAFN9838A2ZB,Y,Y,0.0,4/1/2026,3/31/2027,N,Y,Y
E0125F,Choudhary Logistics,Firm,CHOFS1275Z,27CHOFS1275Z4ZN,Y,N,,,,N,Y,N
E0126E,Rathore Engineering,Firm,RATFG5629F,23RATFG5629F2ZK,Y,N,,,,N,Y,Y
E0127B,Solanki Transport,Firm,SOLFT8039J,27SOLFT8039J8ZN,Y,N,,,,N,Y,N
E0128G,Jadeja Construction,Firm,JADFN1829Y,24JADFN1829Y4ZX,Y,N,,,,N,Y,N
E0129B,Parmar Electricals,Firm,PARFS6690W,32PARFS6690W3ZS,Y,N,,,,N,Y,Y
E0130A,Gohil Fabricators,Firm,GOHFS6959A,07GOHFS6959A6ZV,Y,N,,,,N,Y,N
E0131C,Trivedi Consultants,Firm,TRIFS5805R,29TRIFS5805R3ZM,Y,N,,,,N,Y,N
E0132G,Dave Engineering Works,Firm,DAVFS5034T,06DAVFS5034T6ZX,Y,N,,,,N,Y,N
E0133A,Shah Precision Tools,Firm,SHAFS5179Z,23SHAFS5179Z1ZS,Y,Y,2.0,4/1/2026,3/31/2027,N,Y,Y
E0134B,Modi Steel Traders,Firm,MODFS0562Q,07MODFS0562Q6ZS,Y,N,,,,N,Y,N
E0135G,Parekh Logistics,Firm,PARFS3338T,07PARFS3338T8ZN,Y,Y,1.0,4/1/2026,3/31/2027,N,Y,N
L0136H,Ernst & Young LLP Unit-1,LLP,ERNFZ7479M,19ERNFZ7479M1ZQ,Y,N,,,,N,Y,N
L0137D,Deloitte Touche Tohmatsu India LLP Unit-2,LLP,DELFZ1273V,33DELFZ1273V6Z5,Y,N,,,,N,Y,N
L0138H,KPMG Assurance & Consulting Services LLP Unit-3,LLP,KPMFZ3700Z,24KPMFZ3700Z2ZH,Y,N,,,,N,Y,N
L0139G,Grant Thornton Bharat LLP Unit-4,LLP,GRAFZ4056B,33GRAFZ4056B7ZD,Y,N,,,,N,Y,N
L0140H,BDO India LLP Unit-5,LLP,BDOFZ7118U,07BDOFZ7118U6ZE,Y,N,,,,N,Y,N
L0141C,Walker Chandiok & Co LLP Unit-6,LLP,WALFZ8894N,29WALFZ8894N2ZX,Y,Y,0.0,4/1/2026,3/31/2027,N,Y,N
L0142F,S R Batliboi & Associates LLP,LLP,SRBFP8332Y,09SRBFP8332Y5Z2,Y,Y,0.0,4/1/2026,3/31/2027,N,Y,N
L0143D,Khaitan & Co LLP,LLP,KHAFP9002P,23KHAFP9002P2Z7,Y,N,,,,N,Y,N
L0144H,Ernst & Young LLP Unit-9,LLP,ERNFZ3428L,32ERNFZ3428L7ZP,Y,N,,,,N,Y,N
L0145G,Deloitte Touche Tohmatsu India LLP Unit-10,LLP,DELFZ2277H,36DELFZ2277H3Z5,Y,N,,,,N,Y,N
L0146B,KPMG Assurance & Consulting Services LLP Unit-11,LLP,KPMFZ5927Z,06KPMFZ5927Z4ZB,Y,N,,,,N,Y,N
L0147B,Grant Thornton Bharat LLP Unit-12,LLP,GRAFZ1786O,07GRAFZ1786O5ZO,Y,N,,,,N,Y,N
L0148B,BDO India LLP Unit-13,LLP,BDOFZ1495H,23BDOFZ1495H7ZK,Y,N,,,,N,Y,N
L0149G,Walker Chandiok & Co LLP Unit-14,LLP,WALFZ1504T,23WALFZ1504T5ZU,Y,N,,,,N,Y,N
L0150B,S R Batliboi & Associates LLP Unit-15,LLP,SRBFZ9193O,19SRBFZ9193O5ZU,Y,Y,1.0,4/1/2026,3/31/2027,N,Y,N
I0151D,Rakesh Trivedi,Individual,RAKPI0602A,21RAKPI0602A9Z6,Y,N,,,,N,Y,Y
I0152F,Janorkar Dhillon,Individual,JANPN0639M,27JANPN0639M7Z4,Y,N,,,,N,Y,N
I0153H,Pradhan Modi,Individual,PRAPI6148J,27PRAPI6148J8ZR,Y,N,,,,N,Y,N
I0154F,Vijay Dhillon,Individual,VIJPN9453P,23VIJPN9453P1ZX,Y,N,,,,N,Y,Y
I0155B,Ramesh Gill,Individual,RAMPL1846V,33RAMPL1846V6ZV,Y,N,,,,N,Y,Y
I0156E,Manpreet Gupta,Individual,MANPA5763I,21MANPA5763I8ZX,Y,N,,,,N,Y,N
I0157G,Dinesh Choudhary,Individual,DINPY8470C,07DINPY8470C5Z7,N,N,,,,N,Y,N
I0158B,Rakesh Bedi,Individual,RAKPI2203H,23RAKPI2203H5Z5,N,Y,0.5,4/1/2026,3/31/2027,N,Y,N
I0159F,Pradhan Thakur,Individual,PRAPR3108Q,36PRAPR3108Q5ZX,Y,N,,,,N,Y,Y
I0160A,Manpreet Solanki,Individual,MANPI9912Q,09MANPI9912Q2ZP,Y,N,,,,N,Y,N
I0161E,Jaspreet Brar,Individual,JASPR0856X,33JASPR0856X2ZJ,Y,N,,,,N,Y,Y
I0162G,Nilesh Sinha,Individual,NILPA4469K,06NILPA4469K7ZG,Y,N,,,,N,Y,N
I0163D,Dinesh Sharma,Individual,DINPA5385V,36DINPA5385V8Z9,Y,N,,,,N,Y,Y
I0164F,Jaspreet Menon,Individual,JASPN7308P,06JASPN7308P4ZY,Y,N,,,,N,Y,Y
I0165F,Subash Sharma,Individual,SUBPA2058R,23SUBPA2058R1ZH,Y,Y,0.0,4/1/2026,3/31/2027,N,Y,Y
I0166A,Manoj Sidhu,Individual,MANPU8121D,32MANPU8121D5ZH,Y,N,,,,N,Y,N
I0167H,Mohit Pillai,Individual,MOHPI3231X,24MOHPI3231X6ZQ,Y,Y,1.0,4/1/2026,3/31/2027,N,Y,Y
I0168E,Dinesh Parekh,Individual,DINPH3916N,33DINPH3916N9ZS,Y,Y,1.0,4/1/2026,3/31/2027,N,Y,N
I0169F,Anita Sandhu,Individual,ANIPU6820N,33ANIPU6820N5Z4,Y,N,,,,N,Y,N
I0170H,Deepak Thakur,Individual,DEEPR2836R,36DEEPR2836R3ZU,Y,N,,,,N,Y,N
I0171E,Gaurav Kulkarni,Individual,GAUPI0971N,27GAUPI0971N2Z8,Y,N,,,,N,Y,N
I0172B,Mahesh Pandey,Individual,MAHPY2876B,29MAHPY2876B5Z6,Y,N,,,,N,Y,N
I0173E,Mahesh Grewal,Individual,MAHPL4817W,21MAHPL4817W2ZS,Y,N,,,,N,Y,Y
I0174B,Mukesh Sinha,Individual,MUKPA9696B,24MUKPA9696B5Z0,Y,Y,0.5,4/1/2026,3/31/2027,N,Y,N
I0175C,Balwinder Banerjee,Individual,BALPE9731X,27BALPE9731X2Z9,Y,N,,,,N,Y,N
I0176G,Kavita Chopra,Individual,KAVPA6368Q,21KAVPA6368Q8ZP,Y,N,,,,N,Y,N
I0177C,Naresh Pillai,Individual,NARPI8306D,32NARPI8306D9ZR,Y,N,,,,N,Y,N
I0178B,Nitin Patel,Individual,NITPL9863G,07NITPL9863G7Z3,Y,N,,,,N,Y,N
I0179B,Rakesh Sidhu,Individual,RAKPU4961V,07RAKPU4961V3ZP,Y,N,,,,N,Y,N
I0180H,Vikram Parekh,Individual,VIKPH7739V,27VIKPH7739V2ZA,Y,N,,,,N,Y,N
I0181B,Balwinder Verma,Individual,BALPA0866U,06BALPA0866U4ZK,Y,N,,,,N,Y,Y
I0182D,Amit Solanki,Individual,AMIPI9603J,36AMIPI9603J8ZG,Y,N,,,,N,Y,N
I0183F,Mahesh Dhillon,Individual,MAHPN0602V,21MAHPN0602V2Z0,Y,Y,0.0,4/1/2026,3/31/2027,N,Y,Y
I0184E,Anita Arora,Individual,ANIPA1036Z,32ANIPA1036Z6ZH,Y,N,,,,N,Y,Y
I0185C,Vijay Reddy,Individual,VIJPY5625U,24VIJPY5625U5ZH,Y,N,,,,N,Y,N
I0186F,Pooja Bedi,Individual,POOPI0264R,24POOPI0264R5Z2,Y,N,,,,N,Y,N
I0187B,Deepak Rao,Individual,DEEPO2963K,36DEEPO2963K9ZA,Y,N,,,,N,Y,N
I0188D,Dinesh Pandey,Individual,DINPY5607X,27DINPY5607X8ZL,Y,N,,,,N,Y,N
I0189H,Ashok Brar,Individual,ASHPR4153B,29ASHPR4153B4ZJ,Y,N,,,,N,Y,N
I0190D,Rakesh Banerjee,Individual,RAKPE5025N,32RAKPE5025N7ZC,Y,N,,,,N,Y,N
I0191G,Nilesh Sharma,Individual,NILPA9581N,24NILPA9581N5Z6,Y,N,,,,N,Y,Y
I0192C,Amit Kapoor,Individual,AMIPR4834C,21AMIPR4834C1Z0,Y,N,,,,N,Y,Y
I0193A,Patil Jain,Individual,PATPN6164T,07PATPN6164T7ZD,N,N,,,,N,Y,N
I0194H,Manpreet Kapoor,Individual,MANPR2745H,36MANPR2745H4Z5,Y,N,,,,N,Y,N
I0195C,Sunita Verma,Individual,SUNPA6242C,23SUNPA6242C9ZC,Y,N,,,,N,Y,N
I0196A,Ashok Thakur,Individual,ASHPR1993Z,21ASHPR1993Z6ZA,Y,N,,,,N,Y,N
I0197G,Mohit Gill,Individual,MOHPL5445W,19MOHPL5445W3ZO,Y,Y,0.5,4/1/2026,3/31/2027,N,Y,N
I0198D,Nikhil Desai,Individual,NIKPI4822Q,32NIKPI4822Q3ZG,Y,N,,,,N,Y,N
I0199H,Janorkar Parekh,Individual,JANPH7150R,06JANPH7150R4ZM,Y,N,,,,N,Y,Y
I0200F,Nilesh Reddy,Individual,NILPY5621Q,07NILPY5621Q6ZO,Y,N,,,,N,Y,N
I0201C,Jaspreet Modi,Individual,JASPI1732B,29JASPI1732B1Z2,Y,N,,,,N,Y,Y
I0202F,Rajesh Chopra,Individual,RAJPA8120L,36RAJPA8120L1ZC,Y,N,,,,N,Y,Y
I0203C,Shettigar Yadav,Individual,SHEPV8264D,21SHEPV8264D6ZT,Y,N,,,,N,Y,N
I0204D,Sanjay Modi,Individual,SANPI3774Z,23SANPI3774Z1ZZ,Y,N,,,,N,Y,Y
I0205E,Nilesh Solanki,Individual,NILPI5479E,36NILPI5479E2Z0,Y,N,,,,N,Y,N
H0206E,Ramesh Kumar HUF,HUF,RAMHF9131R,33RAMHF9131R5ZR,Y,N,,,,N,Y,N
H0207E,Suresh Chandra HUF,HUF,SURHF3987X,29SURHF3987X5ZR,Y,N,,,,N,Y,N
H0208F,Anil Mehta HUF,HUF,ANIHF6784W,24ANIHF6784W1ZA,Y,N,,,,N,Y,N
H0209E,Vikram Patel HUF,HUF,VIKHF6043C,24VIKHF6043C4ZB,Y,N,,,,N,Y,N
H0210B,Rajesh Agarwal HUF,HUF,RAJHF3193L,07RAJHF3193L1Z5,Y,N,,,,N,Y,N
H0211E,Mahesh Shah HUF,HUF,MAHHF0335S,36MAHHF0335S9Z4,Y,N,,,,N,Y,N
H0212A,Prakash Jain HUF,HUF,PRAHF7723X,06PRAHF7723X3Z9,Y,N,,,,N,Y,N
H0213B,Dinesh Gupta HUF,HUF,DINHF6286R,27DINHF6286R4Z5,Y,N,,,,N,Y,N
H0214B,Sunil Sharma HUF,HUF,SUNHF9253G,24SUNHF9253G6ZK,Y,N,,,,N,Y,N
H0215G,Amit Verma HUF,HUF,AMIHF0888X,24AMIHF0888X5Z2,Y,N,,,,N,Y,N
H0216F,Ramesh Kumar HUF Unit-11,HUF,RAMHZ7318N,24RAMHZ7318N5ZD,Y,N,,,,N,Y,N
H0217H,Suresh Chandra HUF Unit-12,HUF,SURHZ0454G,06SURHZ0454G5ZV,Y,N,,,,N,Y,N
T0218D,Yuvashakti Foundation,Trust,YUVTN0584V,32YUVTN0584V3Z3,Y,N,,,,N,Y,N
T0219A,Bharatiya Vidya Bhavan Trust,Trust,BHATT4950E,29BHATT4950E8ZB,Y,N,,,,N,Y,N
T0220H,Sri Ramakrishna Mission Trust,Trust,SRITT1331W,06SRITT1331W8ZS,Y,N,,,,N,Y,N
T0221A,Helpage India Trust,Trust,HELTT9853K,09HELTT9853K2ZG,Y,N,,,,N,Y,N
T0222C,CRY Child Rights Trust,Trust,CRYTT7530J,06CRYTT7530J3ZD,Y,N,,,,N,Y,N
T0223D,Akshaya Patra Foundation,Trust,AKSTN7883I,07AKSTN7883I2Z0,Y,N,,,,N,Y,N
T0224E,GiveIndia Foundation,Trust,GIVTN7946U,23GIVTN7946U2ZY,Y,N,,,,N,Y,N
T0225E,Smile Foundation Trust,Trust,SMITT6108A,07SMITT6108A5ZQ,Y,N,,,,N,Y,N
T0226A,Pratham Education Foundation,Trust,PRATN4710P,21PRATN4710P7Z9,Y,N,,,,N,Y,N
T0227B,Teach For India Trust,Trust,TEATT5339W,07TEATT5339W1Z0,Y,N,,,,N,Y,N
A0228G,Irrigation Association of India,Association,IRRAA5116R,27IRRAA5116R1Z7,Y,N,,,,N,Y,N
A0229H,Automotive Component Manufacturers Association,Association,AUTAN9861M,09AUTAN9861M9ZN,Y,N,,,,N,Y,N
A0230B,Confederation of Indian Industry,Association,CONAY5774S,21CONAY5774S1ZR,Y,N,,,,N,Y,N
